Student,Pronouns,ClassTime,IntLeadership,ExpLeadership,IntElecProto,ExpElecProto,IntProg,ExpProg,IntMechCAD,ExpMechCAD,IntMechFab,ExpMechFab,Prefs,AntiPrefs,ProjTopics
AC,she/her,B,4,4,3,2,5,3,3,2,4,3,EW;KA;GP;CI;PS;IS,SE;SL,food makers;art makers;music makers;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers;gantry systems
AJ,he/him,C,3,3,5,5,5,5,1,1,4,2,CJ;UC,UY;TE,reactive kinetic sculptures;interactive 2d art (as opposed to sculpture);art makers
AQ,he/him,A,3,3,2,1,4,3,4,1,3,1,,RW;WK,food makers;art makers;projectile launchers
AS,he/him,C,4,3,5,4,5,5,1,1,3,1,PW;RS;RL;TT,NO;JY,reactive kinetic sculptures;mechatronic penny arcade games;Sustainability (and Split Flap Board Project!!);responsive playground equipment
AU,she/her,C,4,4,2,1,2,1,4,4,5,4,,EC,food makers;mechatronic puzzle boxes;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mechatronic penny arcade games;projectile launchers
BC,she/her,A,2,3,5,2,1,2,1,1,1,1,YA;JI,,art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games
BD,he/him,B,2,3,3,2,5,4,3,4,3,1,NF;IS;KW,PS;WP,speech recognizers;art makers;giant kinetic sculpture ;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games;music audio-visualizers;gantry systems
BE,he/him,C,2,3,5,4,5,4,3,2,4,3,PH;WQ;CK;JG,CJ,art makers;music makers;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;music audio-visualizers
BL,she/her,B,3,4,2,3,5,5,2,3,3,2,UP;SL;BR,JD;FE,food makers;music makers;responsive playground equipment;mobile robots;projectile launchers;music audio-visualizers
BM,she/her,B,4,4,3,3,4,5,2,3,2,2,PG;UH;IT;EG,MX;HQ,reactive kinetic sculptures;food makers;part sorters;gantry systems
BO,she/her,B,4,4,2,2,3,3,4,4,4,4,FN;ZW;ZB;XG,VR,food makers;mobile robots;gantry systems
BR,he/him,A,4,4,4,3,4,4,2,2,3,2,,,mechatrionic smart speaker / home assistants;food makers;music makers;projectile launchers
BS,he/him,C,4,4,3,2,5,4,2,2,4,1,PG;FR;VS;QO;WD;SR,,food makers;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
BY,she/her,C,3,4,5,5,5,4,1,3,1,2,NA;DE;BC;SP;YO;UM,XO;JI,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;part sorters;mechatronic penny arcade games
CI,she/her,A,2,4,1,1,1,2,5,5,4,5,SL,DZ;SB,food makers;music makers;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers
CJ,she/her,A,3,4,5,5,3,4,4,3,3,3,UC;AJ,,food makers;art makers;music makers;reactive kinetic sculptures;mechatronic penny arcade games;music audio-visualizers;gantry systems
CK,she/her,B,3,4,4,2,3,2,4,4,4,4,,,food makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;projectile launchers;gantry systems
CP,she/her,A,3,4,4,3,5,5,3,2,3,3,TZ;UO;LO;UM,,food makers;art makers;music makers;responsive playground equipment;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers
