Student,Pronouns,ClassTime,IntLeadership,ExpLeadership,IntElecProto,ExpElecProto,IntProg,ExpProg,IntMechCAD,ExpMechCAD,IntMechFab,ExpMechFab,Prefs,AntiPrefs,ProjTopics
AQ,he/him,A,3,3,2,1,4,3,4,1,3,1,,RW;WK,food makers;art makers;projectile launchers
BC,she/her,A,2,3,5,2,1,2,1,1,1,1,YA;JI,,art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games
BR,he/him,A,4,4,4,3,4,4,2,2,3,2,,,mechatrionic smart speaker / home assistants;food makers;music makers;projectile launchers
CI,she/her,A,2,4,1,1,1,2,5,5,4,5,SL,DZ;SB,food makers;music makers;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers
CJ,she/her,A,3,4,5,5,3,4,4,3,3,3,UC;AJ,,food makers;art makers;music makers;reactive kinetic sculptures;mechatronic penny arcade games;music audio-visualizers;gantry systems
CP,she/her,A,3,4,4,3,5,5,3,2,3,3,TZ;UO;LO;UM,,food makers;art makers;music makers;responsive playground equipment;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers
DI,he/him,A,4,4,4,3,1,2,4,5,5,5,PG;BS,,speech recognizers;mechatrionic smart speaker / home assistants;part sorters;mechatronic penny arcade games;mobile robots
DQ,he/him,A,5,3,1,1,2,2,5,5,3,5,YQ,VR;JL,reactive kinetic sculptures;gantry systems;mobile robots;projectile launchers
EI,she/her,A,4,5,1,1,2,2,3,4,3,4,WQ;DE;CP;SP,FJ;DI,and slide rules ;reactive kinetic sculptures;Space;flying things;mobile robots;projectile launchers
FE,she/her,A,4,4,3,1,2,1,5,4,5,3,ZA;TE;KA,IE;HD,speech recognizers;art makers;music makers;reactive kinetic sculptures;music audio-visualizers
FG,he/him,A,2,2,2,2,3,3,5,4,5,4,EW,AC,Kinetic sculptuire;gantry systems
FJ,she/her,A,2,4,4,2,3,2,5,5,5,5,MZ,,music makers;responsive playground equipment;reactive kinetic sculptures;mobile robots;projectile launchers;things that bounce
FX,she/her,A,3,5,3,3,4,2,2,4,2,3,WQ;JY,JP,speech recognizers;art makers;responsive playground equipment;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;projectile launchers;music audio-visualizers
GP,she/her,A,3,1,4,2,4,3,1,2,2,1,GN;WP;LX;EO,RB,food makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mobile robots
HF,she/her,A,5,5,3,2,1,1,5,5,5,5,,,part sorters;art makers;music makers;gantry systems
HQ,he/him,A,4,3,3,3,4,3,5,4,5,4,YV;XG;IO;ZW,,small flywheel - precision controlled kinetic energy storage system
IT,she/her,A,4,3,3,4,4,3,4,3,4,3,PG;UH;BM;EG,,reactive kinetic sculptures;art makers;music makers;projectile launchers
