Student,Pronouns,ClassTime,IntLeadership,ExpLeadership,IntElecProto,ExpElecProto,IntProg,ExpProg,IntMechCAD,ExpMechCAD,IntMechFab,ExpMechFab,Prefs,AntiPrefs,ProjTopics
AJ,he/him,C,3,3,5,5,5,5,1,1,4,2,CJ;UC,UY;TE,reactive kinetic sculptures;interactive 2d art (as opposed to sculpture);art makers
AS,he/him,C,4,3,5,4,5,5,1,1,3,1,PW;RS;RL;TT,NO;JY,reactive kinetic sculptures;mechatronic penny arcade games;Sustainability (and Split Flap Board Project!!);responsive playground equipment
AU,she/her,C,4,4,2,1,2,1,4,4,5,4,,EC,food makers;mechatronic puzzle boxes;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mechatronic penny arcade games;projectile launchers
BE,he/him,C,2,3,5,4,5,4,3,2,4,3,PH;WQ;CK;JG,CJ,art makers;music makers;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;music audio-visualizers
BS,he/him,C,4,4,3,2,5,4,2,2,4,1,PG;FR;VS;QO;WD;SR,,food makers;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
BY,she/her,C,3,4,5,5,5,4,1,3,1,2,NB;DE;BC;SP;YO;UM,XO;JI,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;part sorters;mechatronic penny arcade games
DE,she/her,C,3,4,3,3,5,5,2,1,3,2,CP;SP;EI,,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games;projectile launchers
DS,she/her,C,3,4,1,1,5,3,4,4,4,3,ND;NF;KA;PS;KW,SE;LG,mechatronic penny arcade games;art makers;music makers;projectile launchers
EG,she/her,C,4,4,4,3,3,3,1,2,1,1,PG;BM;UH;IT,KC,food makers;art makers;music makers;reactive kinetic sculptures;part sorters;projectile launchers;music audio-visualizers
EO,she/her,C,4,4,3,3,4,3,2,2,2,3,GN;WP;GP;LX,DV;JD,reactive kinetic sculptures;art makers;music audio-visualizers;responsive playground equipment
ES,she/her,C,2,2,2,3,3,3,2,3,2,1,TZ;WQ;LO;ES,ZW,art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mobile robots;projectile launchers
FR,he/him,C,5,4,1,1,5,4,2,1,5,3,MX;SD;VS;QO;MP;KD,HN,speech recognizers;mechatronic puzzle boxes;part sorters;projectile launchers;gantry systems
FZ,she/her,C,3,4,1,1,2,1,4,4,4,2,,VX,reactive kinetic sculptures;food makers;I was super interested in 3d printer like ideas - pointilisim plotter/cnc writing ideas -  cnc pancake design
GD,she/her,C,4,3,1,2,4,3,5,5,5,5,YO;CT,RI,art makers;reactive kinetic sculptures;trash collectors ;mobile robots;gantry systems
GK,he/him,C,3,1,5,4,3,5,4,2,5,1,,,art makers;music makers;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers
GN,he/him,C,2,3,3,2,4,3,3,3,3,2,WP;GP;LX;EO,WB,food makers;speech recognizers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers;gantry systems
HD,she/her,C,5,4,1,3,2,3,5,4,5,4,UR;IE,FE,Anything challenging that requires a true interdisciplinary team effort.;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
HI,he/him,C,4,3,3,2,3,2,4,4,4,2,WD;KG,NO;XH,food makers;art makers;music makers;mechatronic puzzle boxes;mechatronic penny arcade games
HN,she/her,C,3,3,3,2,5,5,1,2,1,1,,FZ,food makers;art makers;responsive playground equipment;Ping pong playing machine;gantry systems
IE,she/her,C,4,5,5,3,3,4,1,3,1,2,UR;HD,FE,music makers;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mobile robots;music audio-visualizers
IO,he/him,C,4,4,1,2,5,4,2,3,1,2,YV;HQ;XG;ZW,VR,mobile robots;music audio-visualizers;projectile launchers
IU,she/her,C,3,3,2,2,1,1,5,5,5,4,RW;RL;WK;AS,,music makers;mechatrionic smart speaker / home assistants;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers
JI,she/her,C,3,3,3,3,5,5,1,1,1,2,YA;OY;BC,UM,art makers;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games;definitely interested in working on something with a social justice/sustainability/accessibility lens or a fun game depending on what it is
JN,she/her,C,5,3,1,2,2,1,2,2,3,1,,,food makers;art makers;part sorters;mobile robots;projectile launchers;gantry systems
JO,she/her,C,4,3,1,2,5,4,3,3,4,3,,OD;RY,art makers;music makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mobile robots;gantry systems
JP,she/her,C,4,3,2,2,3,2,3,2,5,3,,,food makers;speech recognizers;art makers;music makers;responsive playground equipment;mechatrionic smart speaker / home assistants;part sorters
JR,he/him,C,3,3,5,2,5,5,1,2,4,2,YV;KM;SZ;HN,VR;EC,art makers;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
JS,she/her,C,3,4,5,3,3,3,1,1,3,3,,PS;JG,art makers;part sorters;like walle. also a project that is more arty than technical;music audio-visualizers;could be an environmental sorter or packer
JX,he/him,C,3,4,4,3,4,4,1,2,1,1,,,speech recognizers;Assistive Tech / Public Interest related;responsive playground equipment;mechatrionic smart speaker / home assistants;mobile robots
KC,he/him,C,3,4,2,2,1,1,5,4,5,5,,XH,food makers;art makers;music audio-visualizers
KM,she/her,C,3,3,4,4,5,5,1,2,1,2,,,part sorters;food makers;mobile robots;gantry systems
LO,he/him,C,5,4,2,1,5,3,2,5,2,4,TZ;WQ;ES,LT;MU,reactive kinetic sculptures;art makers;mechatronic puzzle boxes
LT,she/her,C,3,3,4,4,4,4,1,1,1,1,UO;VE,,speech recognizers;art makers;music makers
LX,he/him,C,1,3,3,2,2,3,5,4,5,3,GN;WP;GP;EO,FE;HD,part sorters;food makers;mobile robots;gantry systems
MP,she/her,C,3,4,1,2,5,5,2,2,1,2,NF;KA;FR;VS;QO;KD,HN;WB,robots;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers
